"","beta_true","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta"
"20",0,0.409718056388722,0.343131373725255,0.412917416516697,0.685062987402519,0.325134973005399,0.428514297140572,0.405318936212757,0.463307338532294,0.370525894821036,0.619876024795041,0.319736052789442,0.630473905218956,0.352329534093181,0.308538292341532,0.412717456508698,0.369526094781044,0.337332533493301,0.326134773045391,0.377724455108978,0.384923015396921,0.353929214157169,0.420315936812637,0.410917816436713,0.344531093781244,0.650869826034793,0.440511897620476,0.348330333933213,0.678664267146571,0.361127774445111,0.373325334933013
"21",0,0.340731853629274,0.363327334533093,0.370325934813037,0.338532293541292,0.340731853629274,0.333533293341332,0.668866226754649,0.384923015396921,0.411517696460708,0.350929814037193,0.341731653669266,0.312337532493501,0.459108178364327,0.365926814637073,0.423115376924615,0.49870025994801,0.318936212757448,0.319536092781444,0.45250949810038,0.473105378924215,0.3625274945011,0.36872625474905,0.327134573085383,0.373125374925015,0.359728054389122,0.339932013597281,0.349930013997201,0.334733053389322,0.355728854229154,0.342331533693261
"22",0,0.344531093781244,0.346530693861228,0.318136372725455,0.403319336132773,0.382323535292941,0.67006598680264,0.47370525894821,0.390121975604879,0.360127974405119,0.413117376524695,0.308338332333533,0.298140371925615,0.551089782043591,0.339732053589282,0.524695060987802,0.402919416116777,0.407118576284743,0.309538092381524,0.43371325734853,0.660267946410718,0.426314737052589,0.32373525294941,0.361327734453109,0.447110577884423,0.824635072985403,0.32253549290142,0.379124175164967,0.335532893421316,0.364327134573085,0.359128174365127
"23",0,0.344331133773245,0.354129174165167,0.426714657068586,0.336132773445311,0.325734853029394,0.342931413717257,0.365126974605079,0.349730053989202,0.468106378724255,0.49630073985203,0.353129374125175,0.335732853429314,0.738852229554089,0.641471705658868,0.349130173965207,0.317736452709458,0.372125574885023,0.407718456308738,0.357128574285143,0.373325334933013,0.319736052789442,0.356128774245151,0.310137972405519,0.324335132973405,0.525294941011798,0.345930813837233,0.304739052189562,0.45630873825235,0.360327934413117,0.391521695660868
"24",0,0.439712057588482,0.460707858428314,0.339932013597281,0.33873225354929,0.364727054589082,0.393321335732853,0.330333933213357,0.404319136172765,0.32873425314937,0.434913017396521,0.335132973405319,0.334133173365327,0.386522695460908,0.881623675264947,0.403919216156769,0.393921215756849,0.311537692461508,0.386122775444911,0.675464907018596,0.347130573885223,0.3375324935013,0.401919616076785,0.312737452509498,0.35252949410118,0.920215956808638,0.336932613477305,0.360927814437113,0.660267946410718,0.357128574285143,0.338932213557289
"25",0,0.505498900219956,0.324735052989402,0.335532893421316,0.859828034393121,0.339732053589282,0.425114977004599,0.506498700259948,0.463507298540292,0.363927214557089,0.366726654669066,0.353129374125175,0.420115976804639,0.413517296540692,0.360927814437113,0.459108178364327,0.54249150169966,0.326934613077385,0.320135972805439,0.571885622875425,0.320935812837432,0.34373125374925,0.446110777844431,0.415116976604679,0.368326334733053,0.461107778444311,0.346930613877225,0.393121375724855,0.592681463707258,0.398320335932813,0.479904019196161
"26",0,0.401919616076785,0.359528094381124,0.580883823235353,0.574685062987403,0.313537292541492,0.3625274945011,0.493501299740052,0.325534893021396,0.469106178764247,0.499300139972006,0.3375324935013,0.450909818036393,0.403519296140772,0.399520095980804,0.348130373925215,0.342131573685263,0.464707058588282,0.337332533493301,0.429114177164567,0.462107578484303,0.34373125374925,0.309538092381524,0.359728054389122,0.30253949210158,0.596880623875225,0.320535892821436,0.394721055788842,0.530093981203759,0.372125574885023,0.350729854029194
"27",0,0.420915816836633,0.323335332933413,0.393121375724855,0.414317136572685,0.346130773845231,0.464107178564287,0.389722055588882,0.348130373925215,0.356928614277145,0.343531293741252,0.464507098580284,0.621875624875025,0.304539092181564,0.428914217156569,0.343331333733253,0.383923215356929,0.530493901219756,0.341131773645271,0.428314337132573,0.317336532693461,0.328334333133373,0.334333133373325,0.364727054589082,0.367926414717057,0.324135172965407,0.435912817436513,0.445510897820436,0.416716656668666,0.534893021395721,0.403919216156769
"28",0,0.4375124975005,0.407118576284743,0.335132973405319,0.436712657468506,0.323335332933413,0.382123575284943,0.367726454709058,0.456508698260348,0.330533893221356,0.515896820635873,0.478304339132174,0.309138172365527,0.336932613477305,0.326134773045391,0.709258148370326,0.396920615876825,0.345730853829234,0.357128574285143,0.392121575684863,0.390521895620876,0.306338732253549,0.365526894621076,0.348130373925215,0.36372725454909,0.355928814237153,0.318336332733453,0.323935212957409,0.398320335932813,0.324135172965407,0.343131373725255
"29",0,0.318336332733453,0.367926414717057,0.581683663267347,0.312337532493501,0.34753049390122,0.376324735052989,0.403919216156769,0.341331733653269,0.339132173565287,0.309138172365527,0.389322135572885,0.324135172965407,0.331733653269346,0.430113977204559,0.319736052789442,0.360927814437113,0.338332333533293,0.40751849630074,0.309938012397521,0.375524895020996,0.349130173965207,0.353129374125175,0.355128974205159,0.325734853029394,0.349130173965207,0.336332733453309,0.400119976004799,0.347130573885223,0.343531293741252,0.355728854229154
"30",0,0.376924615076985,0.358128374325135,0.325134973005399,0.383323335332933,0.322335532893421,0.361127774445111,0.358128374325135,0.426114777044591,0.321135772845431,0.381923615276945,0.485302939412118,0.33873225354929,0.337132573485303,0.729054189162168,0.32253549290142,0.317736452709458,0.383523295340932,0.34373125374925,0.30873825234953,0.370925814837033,0.336732653469306,0.360527894421116,0.334933013397321,0.399720055988802,0.434913017396521,0.777644471105779,0.33253349330134,0.626074785042991,0.393921215756849,0.372325534893021
"31",0,0.322735452909418,0.322735452909418,0.332333533293341,0.405318936212757,0.397720455908818,0.401919616076785,0.407318536292741,0.497700459908018,0.414717056588682,0.376324735052989,0.367126574685063,0.315336932613477,0.350929814037193,0.380923815236953,0.362727454509098,0.470705858828234,0.55868826234753,0.352929414117177,0.306338732253549,0.358528294341132,0.337332533493301,0.329534093181364,0.334733053389322,0.368326334733053,0.32873425314937,0.624275144971006,0.379524095180964,0.386722655468906,0.425514897020596,0.36372725454909
"32",0,0.318536292741452,0.333333333333333,0.350729854029194,0.325734853029394,0.319736052789442,0.352929414117177,0.390721855628874,0.454509098180364,0.339932013597281,0.523495300939812,0.33873225354929,0.324935012997401,0.378324335132973,0.313937212557489,0.361127774445111,0.314937012597481,0.341131773645271,0.354529094181164,0.368926214757049,0.300139972005599,0.324935012997401,0.360127974405119,0.335532893421316,0.425114977004599,0.546090781843631,0.416516696660668,0.319336132773445,0.321735652869426,0.360127974405119,0.399720055988802
"33",0,0.56628674265147,0.357328534293141,0.429114177164567,0.335332933413317,0.340331933613277,0.341131773645271,0.402319536092781,0.403119376124775,0.338932213557289,0.3625274945011,0.340531893621276,0.356128774245151,0.361927614477105,0.372925414917017,0.547290541891622,0.401519696060788,0.391721655668866,0.366126774645071,0.348530293941212,0.348130373925215,0.380923815236953,0.365126974605079,0.50869826034793,0.334333133373325,0.326534693061388,0.33873225354929,0.760447910417916,0.352329534093181,0.935812837432514,0.385922815436913
"34",0,0.456108778244351,0.331933613277345,0.334933013397321,0.824835032993401,0.372725454909018,0.307338532293541,0.529094181163767,0.451309738052389,0.377324535092981,0.32253549290142,0.367326534693061,0.327334533093381,0.32753449310138,0.412717456508698,0.370325934813037,0.342131573685263,0.305738852229554,0.355928814237153,0.331933613277345,0.311737652469506,0.370325934813037,0.426114777044591,0.368526294741052,0.32253549290142,0.331133773245351,0.365526894621076,0.502899420115977,0.333333333333333,0.995800839832034,0.366326734653069
"35",0,0.423115376924615,0.336332733453309,0.337132573485303,0.390921815636873,0.332733453309338,0.375324935012997,0.453509298140372,0.465906818636273,0.384123175364927,0.316536692661468,0.335932813437313,0.386922615476905,0.460307938412318,0.449710057988402,0.339532093581284,0.31373725254949,0.329534093181364,0.411317736452709,0.33253349330134,0.387922415516897,0.365926814637073,0.350129974005199,0.418316336732653,0.352329534093181,0.326734653069386,0.326534693061388,0.320335932813437,0.319536092781444,0.86002799440112,0.37872425514897
"36",0,0.326734653069386,0.343531293741252,0.410317936412717,0.3375324935013,0.38872225554889,0.381323735252949,0.417716456708658,0.472105578884223,0.384323135372925,0.37872425514897,0.336132773445311,0.312137572485503,0.327334533093381,0.35872825434913,0.405118976204759,0.48630273945211,0.515696860627874,0.350929814037193,0.325734853029394,0.384923015396921,0.329734053189362,0.387922415516897,0.349530093981204,0.470905818836233,0.362727454509098,0.55128974205159,0.576484703059388,0.318536292741452,0.844231153769246,0.352129574085183
"37",0,0.385722855428914,0.323135372925415,0.336932613477305,0.303139372125575,0.704859028194361,0.370325934813037,0.356328734253149,0.729854029194161,0.348530293941212,0.380723855228954,0.329734053189362,0.386122775444911,0.369526094781044,0.37252549490102,0.335532893421316,0.439312137572485,0.464507098580284,0.378324335132973,0.303139372125575,0.379124175164967,0.345730853829234,0.629074185162967,0.310137972405519,0.344531093781244,0.397320535892821,0.482103579284143,0.356528694261148,0.393121375724855,0.40251949610078,0.376524695060988
